1939,380,13,4422
1940,380,14,4350
1941,395,14,4477
1942,435,17,4893
1943,448,18,4887
1944,470,18,5217
1945,470,16,5460
1946,461,18,5787
1947,470,18,5787
1948,442,17,5724
1949,438,16,5591
1950,451,15,5612
1951,487,17,5559
1952,521,19,5493
1953,537,23,5520
1954,537,24,5451
1955,537,35,5300
1956,548,36,5296
1957,559,40,5365
1958,559,49,5381
1959,570,59,5402
1960,564,67,5396
1961,581,74,5507
1962,587,83,5498
1963,599,89,5530
1964,599,96,5600
1965,605,92,5556
1966,559,95,4766
1967,559,101,4815
1968,565,104,4770
1969,559,110,4762
1973,500,131,4103
1974,500,148,4195
1975,500,158,4163
1977,525,165,4346
1978,504,171,4081
1979,504,204,4155
1980,504,220,4141
1981,500,180,4213
1986,520,201,3205
1987,500,250,3190
1988,520,245,3186
1989,535,230,3311
1990,480,245,3188
1991,520,225,3200
1992,470,240,3030
1993,500,245,2876
1994,400,260,2770
1995,420,240,2647
1996,390,240,2566
1997,400,240,2579
1998,450,225,2633
1999,505,224,2688
2000,440,235,2634
2001,425,235,2513
2002,440,225,2524
2003,480,200,2590
2004,390,215,2556
2005,400,220,2410
2006,380,225,2932
2007,340,255,2442
2008,360,225,2301
2009,355,270,2462
2010,410,265,2684
2011,370,250,2491
2012,340,270,2624
2013,330,265,2640
