1939,6785,645,130880
1940,6950,641,132122
1941,7237,613,133402
1942,7735,589,134860
1943,8506,587,136739
1944,8945,565,138397
1945,9344,579,139928
1946,9559,588,141389
1947,9832,601,144126
1948,10064,612,146631
1949,10337,631,149188
1950,10677,653,152271
1951,11134,655,154878
1952,11635,651,157553
1953,12251,648,160184
1954,12746,655,163026
1955,13133,663,165931
1956,13713,670,168903
1957,14264,666,171984
1958,14880,656,174882
1959,15467,667,177830
1960,15717,681,180671
1961,16497,693,183691
1962,17072,705,186538
1963,17668,708,189242
1964,18151,701,191889
1965,18585,692,194303
1966,18858,683,196560
1967,19176,671,198712
1968,19394,669,200706
1969,19711,668,202677
1970,19953,666,205052
1971,20346,671,207661
1972,20585,677,209896
1973,20869,679,211909
1974,21174,680,213854
1975,21538,681,215973
1976,21936,686,218035
1977,22352,688,220239
1978,22836,689,222585
1979,23257,688,225055
1980,23668,691,227225
1981,24286,690,229466
1982,24820,691,231664
1983,25360,693,233792
1984,25844,697,235825
1985,26441,698,237924
1986,27102,696,240133
1987,27777,696,242289
1988,28464,698,244499
1989,29218,697,246819
1990,29760,696,249464
1991,30414,701,252153
1992,30876,709,255030
1993,31147,716,257783
1994,31317,723,260327
1995,31494,728,262803
1996,31781,731,265229
1997,32218,731,267784
1998,32683,731,270248
1999,33145,733,272691
2000,33999,756,282172
2001,34507,759,285040
2002,34916,762,287727
2003,35307,766,290211
2004,35630,774,292892
2005,35885,779,295561
2006,36121,787,298363
2007,36378,796,301290
2008,36757,804,304060
2009,36962,812,307007
2010,37334,816,309330
2011,37684,824,311592
2012,38041,833,313914
